layer_id,step_cycles_total,preload_input_cycles,weight_load_cycle,output_drain_cycles,output_store_cycles
0,392005,12670,461,41742,1818,
1,97145,3148,461,12513,515,
2,242711,7685,922,13731,551,
3,41808,2680,1844,2491,107,
4,87360,5518,3688,2690,112,
5,85104,5382,3688,4175,161,
6,17623,2232,118016,802,32,
7,43823,5508,235968,2771,93,
8,114257,14312,235968,20796,657,
9,10205,1280,58992,235,9,
10,13273,1664,58992,27,4,
11,17909,2240,58992,208,8,
12,734,23,410,4,1,
0,392005,12670,461,41742,1818,
1,97145,3148,461,12513,515,
2,242711,7685,922,13731,551,
3,41808,2680,1844,2491,107,
4,87360,5518,3688,2690,112,
5,85104,5382,3688,4175,161,
6,17623,2232,118016,802,32,
7,43823,5508,235968,2771,93,
8,114257,14312,235968,20796,657,
9,10205,1280,58992,235,9,
10,13273,1664,58992,27,4,
11,17909,2240,58992,208,8,
12,734,23,410,4,1,
0,392005,12670,461,41742,1818,
1,97145,3148,461,12513,515,
2,242711,7685,922,13731,551,
3,41808,2680,1844,2491,107,
4,87360,5518,3688,2690,112,
5,85104,5382,3688,4175,161,
6,17623,2232,118016,802,32,
7,43823,5508,235968,2771,93,
8,114257,14312,235968,20796,657,
9,10205,1280,58992,235,9,
10,13273,1664,58992,27,4,
11,17909,2240,58992,208,8,
12,734,23,410,4,1,
0,392005,12670,461,41742,1818,
1,97145,3148,461,12513,515,
2,242711,7685,922,13731,551,
3,41808,2680,1844,2491,107,
4,87360,5518,3688,2690,112,
5,85104,5382,3688,4175,161,
6,17623,2232,118016,802,32,
7,43823,5508,235968,2771,93,
8,114257,14312,235968,20796,657,
9,10205,1280,58992,235,9,
10,13273,1664,58992,27,4,
11,17909,2240,58992,208,8,
12,734,23,410,4,1,
0,390981,12670,461,41742,1818,
1,96889,3148,461,12513,515,
2,242455,7685,922,13731,551,
0,390981,12670,461,41742,1818,
1,96889,3148,461,12513,515,
2,242455,7685,922,13731,551,
3,83613,2680,1844,1944,95,
4,174708,5518,3688,2127,96,
5,170193,5382,3688,3422,140,
6,70485,2232,118016,660,28,
0,390981,12670,461,41742,1818,
1,96889,3148,461,12513,515,
2,242455,7685,922,13731,551,
3,83613,2680,1844,1944,95,
4,174708,5518,3688,2127,96,
5,170193,5382,3688,3422,140,
6,70485,2232,118016,660,28,
7,175290,5508,235968,4180,139,
0,390981,12670,461,41742,1818,
1,96889,3148,461,12513,515,
2,242455,7685,922,13731,551,
3,83613,2680,1844,1944,95,
4,174708,5518,3688,2127,96,
5,170193,5382,3688,3422,140,
6,70485,2232,118016,660,28,
7,175290,5508,235968,4180,139,
8,457037,14312,235968,110073,3448,
9,40816,1280,58992,624,22,
10,53088,1664,58992,119,6,
11,71632,2240,58992,1209,39,
12,733,23,410,4,1,
0,390981,12670,461,41742,1818,
1,96889,3148,461,12513,515,
2,242455,7685,922,13731,551,
3,83613,2680,1844,1944,95,
4,174708,5518,3688,2127,96,
5,170193,5382,3688,3422,140,
6,70485,2232,118016,660,28,
7,175290,5508,235968,4180,139,
8,457037,14312,235968,110073,3448,
9,40816,1280,58992,624,22,
10,53088,1664,58992,119,6,
11,71632,2240,58992,1209,39,
12,733,23,410,4,1,
0,390981,12670,461,41742,1818,
1,96889,3148,461,12513,515,
2,242455,7685,922,13731,551,
3,83613,2680,1844,1944,95,
4,174708,5518,3688,2127,96,
5,170193,5382,3688,3422,140,
6,70485,2232,118016,660,28,
7,175290,5508,235968,4180,139,
8,457037,14312,235968,110073,3448,
9,40816,1280,58992,624,22,
10,53088,1664,58992,119,6,
11,71632,2240,58992,1209,39,
12,733,23,410,4,1,
0,84873,2769,461,27118,968,
1,155829,4990,922,14910,591,
2,198567,6321,922,6001,336,
3,136362,4373,922,20979,787,
4,219730,6975,922,24889,891,
5,211385,6724,922,73878,2431,
6,171593,5416,1844,32044,1033,
7,205342,6476,3688,49562,1583,
8,498217,15624,3688,104155,3290,
9,671509,21044,3688,257704,8086,
10,826297,25880,3688,91528,2891,
11,896717,28072,3688,105861,3339,
12,406187,12728,118016,16154,511,
13,366364,11484,235968,2750,93,
14,307860,9648,235968,4215,140,
15,537364,16820,235968,2945,102,
