model,layer_id,layer_name,layer_kind,isb_capacity_bytes,filter_capacity_bytes,output_spine_capacity_bytes
resnet19,0,"layer1.0.conv1",conv,160,576,5
resnet19,1,"layer1.0.conv2",conv,160,576,5
resnet19,2,"layer1.1.conv1",conv,160,576,5
resnet19,3,"layer1.1.conv2",conv,160,576,5
resnet19,4,"layer1.2.conv1",conv,160,576,5
resnet19,5,"layer1.2.conv2",conv,160,576,5
resnet19,6,"layer2.0.conv1",conv,160,576,5
resnet19,7,"layer2.0.conv2",conv,160,576,5
resnet19,8,"layer2.1.conv1",conv,160,576,5
resnet19,9,"layer2.1.conv2",conv,160,576,5
resnet19,10,"layer2.2.conv1",conv,160,576,5
resnet19,11,"layer2.2.conv2",conv,160,576,5
resnet19,12,"layer3.0.conv1",conv,160,576,5
resnet19,13,"layer3.0.conv2",conv,160,576,5
resnet19,14,"layer3.1.conv1",conv,160,576,5
resnet19,15,"layer3.1.conv2",conv,160,576,5
resnet19,16,"fc2",fc,160,576,5
